nombre,precio,tipo,capacidad,rpm,tamano,bus,link,imagen
HGST Ultrastar A7K2000 1 TB,44.990,HDD,1 TB,7200 rpm,3.5"",SATA 2 (3.0 Gb/s),https://www.solotodo.com/products/69358-hgst-ultrastar-a7k2000-1-tb-hua722010cla331,https://s3.amazonaws.com/solotodo-core/media/cache/fa/e8/fae8edb3e4751f8e8d24fb666c873270.png
Hitachi Deskstar 500 GB,46.990,HDD,500 GB,5400 rpm,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/32287-hitachi-deskstar-500-gb-0j41955,https://s3.amazonaws.com/solotodo-core/media/cache/0e/a8/0ea8f433bf24dc19fbf0b10797c9959d.png
Toshiba V300 2 TB,47.900,HDD,2 TB,5700 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/53378-toshiba-v300-2-tb-hdwu120uzsva,https://s3.amazonaws.com/solotodo-core/media/cache/88/99/8899afeba1ab26bbdf210af99f144d8f.png
Toshiba L200 1 TB,49.990,HDD,1 TB,5400 rpm,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/45865-toshiba-l200-1-tb-hdwl110uzsva,https://s3.amazonaws.com/solotodo-core/media/cache/9c/98/9c9863294c6d0075a1c71d7b7a1217b6.png
Western Digital Black 1 TB,71.490,HDD,1 TB,7200 rpm,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/73012-western-digital-black-1-tb-wd10spsx,https://s3.amazonaws.com/solotodo-core/media/cache/7e/59/7e59fb57b869dba643465e35bc707eee.png
Seagate Momentus 1 TB,49.990,HDD,1 TB,5400 rpm,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/33941-seagate-momentus-1-tb-st1000lm048,https://s3.amazonaws.com/solotodo-core/media/cache/86/97/86971f16cc420d126279f361e864a15a.png
Seagate Mobile HDD 1 TB,52.990,HDD,1 TB,5400 rpm,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/35434-seagate-mobile-hdd-1-tb-st1000lm035,https://s3.amazonaws.com/solotodo-core/media/cache/d3/7e/d37e9c722524687b6f07de32ea9cb94e.png
Western Digital Blue 2 TB,56.990,HDD,2 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/62343-western-digital-blue-2-tb-wd20ezaz,https://s3.amazonaws.com/solotodo-core/media/cache/fe/3f/fe3fd85eefb65d9b943b3f1f7addf7f1.png
Western Digital Black 500 GB,54.191,HDD,500 GB,7200 rpm,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/21383-western-digital-black-500-gb-wd5000lplx,https://s3.amazonaws.com/solotodo-core/media/cache/03/b0/03b02da354acfac40a555300ba91235b.png
Seagate SkyHawk 2 TB,55.290,HDD,2 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/33620-seagate-skyhawk-2-tb-st2000vx008,https://s3.amazonaws.com/solotodo-core/media/cache/1d/d4/1dd422de58ace2c29f036ed9ecb86584.png
Seagate Barracuda 2 TB,56.990,HDD,2 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/59794-seagate-barracuda-2-tb-st2000dm008,https://s3.amazonaws.com/solotodo-core/media/cache/45/d0/45d0b8dffa82bdbf27ada1cebb8a20fa.png
Western Digital Purple 2 TB,64.900,HDD,2 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/15268-western-digital-purple-2-tb-wd20purx,https://s3.amazonaws.com/solotodo-core/media/cache/55/3b/553ba24c47c8fafe554e16c024dc54fd.png
Toshiba P300 2 TB,58.990,HDD,2 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/26555-toshiba-p300-2-tb-hdwd120uzsva,https://s3.amazonaws.com/solotodo-core/media/cache/e8/56/e856491dffee3d7589af8167f475b81a.png
Seagate IronWolf NAS 2 TB,69.990,HDD,2 TB,5900 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/33744-seagate-ironwolf-nas-2-tb-st2000vn004,https://s3.amazonaws.com/solotodo-core/media/cache/46/aa/46aaa3a3140a2050c77183e8a6b4fe09.png
Toshiba L200 2 TB,72.352,HDD,2 TB,5400 rpm,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/52640-toshiba-l200-2-tb-hdwl120uzsva,https://s3.amazonaws.com/solotodo-core/media/cache/c9/80/c9802e3b91d94b6b67663d5f5c7ee738.png
Seagate Barracuda Compute 2 TB,74.990,HDD,2 TB,5400 rpm,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/35682-seagate-barracuda-compute-2-tb-st2000lm015,https://s3.amazonaws.com/solotodo-core/media/cache/34/ab/34abfb8ec46ea3ee9d010a834070f9d1.png
Seagate FireCuda 1 TB,75.098,Híbrido,1 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/33616-seagate-firecuda-1-tb-st1000dx002,https://s3.amazonaws.com/solotodo-core/media/cache/56/74/56742a018b1872c0b2be1080311921a0.png
Western Digital Purple 3 TB,76.980,HDD,3 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/37545-western-digital-purple-3-tb-wd30purz,https://s3.amazonaws.com/solotodo-core/media/cache/50/d0/50d078cc458b53b27290bb62b0444630.png
Western Digital Red 2 TB,87.990,HDD,2 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/64466-western-digital-red-2-tb-wd20efax,https://solotodo-core.s3.amazonaws.com/media/cache/63/19/63194b35dd96b7a25fa01cf97d3fae55.png
Seagate Barracuda 4 TB,89.890,HDD,4 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/41869-seagate-barracuda-4-tb-st4000dm004,https://s3.amazonaws.com/solotodo-core/media/cache/41/6d/416daf0b7ba824b12ed87543cd006fa3.png
Western Digital Purple 4 TB,92.900,HDD,4 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/15747-western-digital-purple-4-tb-wd40purx,https://s3.amazonaws.com/solotodo-core/media/cache/d2/ed/d2ed14a3f5b6ad499ccbb780da127903.png
HP 1 TB,99.990,HDD,1 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/46471-hp-1-tb-861686-b21,https://s3.amazonaws.com/solotodo-core/media/cache/92/45/92457dd209afb65d06f055cfade4af86.png
Western Digital Blue 3 TB,92.990,HDD,3 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/22358-western-digital-blue-3-tb-wd30ezrz,https://s3.amazonaws.com/solotodo-core/media/cache/45/0b/450b7b8749ebba07e567e3ed6977d77d.png
