nombre,precio,socket,chipset,memorias,formato,tipomemoria,link,imagen
ASRock B450M Pro4-F,73990,AM4,AMD B450 (AM4),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/60908-asrock-b450m-pro4-f,https://s3.amazonaws.com/solotodo-core/media/cache/71/8c/718c059ce2d8b810f6a48422f3d47e5c.png
MSI B450M PRO-M2 MAX,76990,AM4,AMD B450 MAX (AM4),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/67384-msi-b450m-pro-m2-max,https://s3.amazonaws.com/solotodo-core/media/cache/cd/c6/cdc620f64a162581492f6404d6ffd95c.png
Gigabyte B365M DS3H,78990,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/68526-gigabyte-b365m-ds3h,https://s3.amazonaws.com/solotodo-core/media/cache/95/44/9544b6bf7603587a6d90d74fe6b27d66.png
ASUS PRIME B250M-C/CSM,79900,LGA 1151,Intel B250 (LGA 1151),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/38182-asus-prime-b250m-ccsm,https://s3.amazonaws.com/solotodo-core/media/cache/4b/e4/4be49e31ce340b7cb7448e342ad56169.png
MSI B450M BAZOOKA V2,79990,AM4,AMD B450 (AM4),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/58988-msi-b450m-bazooka-v2,https://s3.amazonaws.com/solotodo-core/media/cache/b0/76/b07680aa226a7c21d3d42ff1cc6ab1d8.png
MSI B365M PRO-VDH,79990,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/66435-msi-b365m-pro-vdh,https://s3.amazonaws.com/solotodo-core/media/cache/80/91/80917a79db40757273686295cf2cd2f8.png
MSI B450M PRO-VDH PLUS,79900,AM4,AMD B450 (AM4),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/59231-msi-b450m-pro-vdh-plus,https://s3.amazonaws.com/solotodo-core/media/cache/eb/6e/eb6e360100239d9a9df68370cfe812b4.png
MSI B360M GAMING PLUS,79900,LGA 1151-v2,Intel B360 (LGA 1151-v2),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/45732-msi-b360m-gaming-plus,https://s3.amazonaws.com/solotodo-core/media/cache/25/fc/25fc59eefe334ed93afe078be3cfa195.png
ASUS PRIME B365M-A,79900,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/70706-asus-prime-b365m-a,https://s3.amazonaws.com/solotodo-core/media/cache/a4/de/a4dead198a1cbd8d6b998c1a67d13cce.png
ASUS PRIME B450M-A,82490,AM4,AMD B450 (AM4),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/51442-asus-prime-b450m-a,https://s3.amazonaws.com/solotodo-core/media/cache/a5/d0/a5d0538132535dc1da5d79f85e940c24.png
