nombre,precio,formato,fuentepoder,ubfuente,panellateral,link,imagen
Cooler Master MasterBox MB520 (MCB-B520-KGNN-S00),56.544,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/65505-cooler-master-masterbox-mb520-mcb-b520-kgnn-s00,https://s3.amazonaws.com/solotodo-core/media/cache/d8/d9/d8d9a9d7f7b004089dea827edce2080a.png
Nox Infinity Neon RGB,57.220,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/68693-nox-infinity-neon-rgb,https://s3.amazonaws.com/solotodo-core/media/cache/1c/c4/1cc476bb508c6dec8773f4156ae1eaa9.png
Thermaltake View 22 (CA-1J3-00M1WN-00),57.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/43829-thermaltake-view-22-ca-1j3-00m1wn-00,https://s3.amazonaws.com/solotodo-core/media/cache/6b/77/6b778a48e73402f8f8ba8c9efd6f3a8d.png
Cooler Master MasterBox 5t (MCX-B5S3T-RWNN),57.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/41037-cooler-master-masterbox-5t-mcx-b5s3t-rwnn,https://s3.amazonaws.com/solotodo-core/media/cache/ca/f2/caf280ab3d2c66d3c0111aa55f4e44a7.png
Gamemax Abyss M908,59.900,Extended ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/62943-gamemax-abyss-m908,https://s3.amazonaws.com/solotodo-core/media/cache/c5/96/c596a385f9f3deb510c305d0495f2c8a.png
Cougar Trofeo (385AMA0),59.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/63644-cougar-trofeo-385ama0,https://solotodo-core.s3.amazonaws.com/media/cache/9f/8a/9f8aeaf70193099df122d8e4b8e25b98.png
Nox Hummer TGM,59.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/68694-nox-hummer-tgm,https://s3.amazonaws.com/solotodo-core/media/cache/c3/e6/c3e6988c899536bd7ae6c29020395ff8.png
Nox Infinity Sigma,59.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/68543-nox-infinity-sigma,https://s3.amazonaws.com/solotodo-core/media/cache/88/bd/88bd4ccf0b353c85660cc61b9f07f11b.png
In Win 301 - White,59.990,Micro ATX,No posee,Superior,Vidrio templado,https://www.solotodo.com/products/40593-in-win-301-white,https://s3.amazonaws.com/solotodo-core/media/cache/af/12/af12df491c6c1b0889ed7a53be629e62.png
In Win 301 - Black,59.990,Micro ATX,No posee,Superior,Vidrio templado,https://www.solotodo.com/products/40592-in-win-301-black,https://s3.amazonaws.com/solotodo-core/media/cache/b3/22/b32230f4cf2459512204bf92d19df767.png
