nombre,precio,capacidad,formato,bus,link,imagen
SanDisk SSD Plus 480 GB,50900,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/33443-sandisk-ssd-plus-480-gb-sdssda-480g-g26,https://s3.amazonaws.com/solotodo-core/media/cache/22/6f/226f6fd3044bdb1eb7620e3fefea979e.png
Intel 545S 256 GB,52896,256 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/41409-intel-545s-256-gb-ssdsc2kw256g8x1,https://s3.amazonaws.com/solotodo-core/media/cache/bb/35/bb35228f5a815d4902ba61bb780fbea5.png
Crucial BX500 480 GB,51900,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/51152-crucial-bx500-480-gb-ct480bx500ssd1,https://s3.amazonaws.com/solotodo-core/media/cache/13/f7/13f750602009fd4139349841fa006ab7.png
Seagate Maxtor Z1 480 GB,52900,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/64047-seagate-maxtor-z1-480-gb-ya480vc10001,https://s3.amazonaws.com/solotodo-core/media/cache/ba/ff/baff842f58898e4ce6458d771166d4df.png
Kingston A2000 250 GB,54900,250 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/65074-kingston-a2000-250-gb-sa2000m8250g,https://s3.amazonaws.com/solotodo-core/media/cache/f0/b5/f0b5129aa31e850ace46d5ce41207454.png
Kingston HyperX Fury RGB 240 GB,54900,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/51724-kingston-hyperx-fury-rgb-240-gb-shfr200240g,https://solotodo-core.s3.amazonaws.com/media/cache/c4/6d/c46d828e2f6d8b86eb2ab9bda6d486b9.png
Kingston SSDNow A400 480 GB,73500,480 GB,M.2,SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/72887-kingston-ssdnow-a400-480-gb-sa400m8480g,https://s3.amazonaws.com/solotodo-core/media/cache/84/5d/845d1fe5fd23840a2b8c2a9db2b5a54f.png
Kingston KC600 256 GB,55490,256 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/68884-kingston-kc600-256-gb-skc600256g,https://s3.amazonaws.com/solotodo-core/media/cache/3b/5c/3b5c7d264ef918bf3a92cd391846674f.png
A-DATA XPG Gammix S5 256 GB,55627,256 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/57793-a-data-xpg-gammix-s5-256-gb-agammixs5-256gt-c,https://s3.amazonaws.com/solotodo-core/media/cache/8d/4b/8d4b1fcca32f3058c41831d82e1f5aae.png
A-DATA Ultimate SU630 480 GB,56990,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/58947-a-data-ultimate-su630-480-gb-asu630ss-480gq-r,https://solotodo-core.s3.amazonaws.com/media/cache/df/58/df5842a34a1ba371b864446b247c93ab.png
Corsair Force LE200 120 GB,56990,120 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/39654-corsair-force-le200-120-gb-cssd-f120gble200c,https://s3.amazonaws.com/solotodo-core/media/cache/9b/4b/9b4b309df129d8be6c17ecc78b8d551c.png
