nombre,precio,gpu,memoria,frecuencias,bus,link,imagen
Gigabyte GeForce RTX 2060 SUPER WINDFORCE OC 8G (GV-N206SWF2OC-8GD REV2.0),499.900,NVIDIA GeForce RTX 2060 Super,8 GB GDDR6 (256 bit),1680 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/67602-gigabyte-geforce-rtx-2060-super-windforce-oc-8g-gv-n206swf2oc-8gd-rev20,https://s3.amazonaws.com/solotodo-core/media/cache/fb/bb/fbbbe6bcca64c5781e2c67d7dbe399ce.png
PNY Quadro P2000 (VCQP2000-BLK),499.900,NVIDIA Quadro P2000,5.0 GB GDDR5 (160 bit),1370 MHz core / 2002 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/64485-pny-quadro-p2000-vcqp2000-blk,https://s3.amazonaws.com/solotodo-core/media/cache/f5/f4/f5f4f15e486a58c40393729b2f7d2bfb.png
Zotac GAMING GeForce RTX 2060 SUPER AMP Extreme (ZT-T20610B-10P),519.900,NVIDIA GeForce RTX 2060 Super,8 GB GDDR6 (256 bit),1407 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/64446-zotac-gaming-geforce-rtx-2060-super-amp-extreme-zt-t20610b-10p,https://s3.amazonaws.com/solotodo-core/media/cache/55/e0/55e0e2acaf0830bf68244c701f87cf82.png
ASUS ROG-STRIX-RTX2060S-A8G-GAMING (90YV0DG1-M0NA00),532.900,NVIDIA GeForce RTX 2060 Super,8 GB GDDR6 (256 bit),1470 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/66542-asus-rog-strix-rtx2060s-a8g-gaming-90yv0dg1-m0na00,https://s3.amazonaws.com/solotodo-core/media/cache/9c/86/9c8646099fb758f4271eee749fed1fe2.png
Zotac GAMING GeForce RTX 2070 SUPER MINI (ZT-T20710E-10M),539.900,NVIDIA GeForce RTX 2070 Super,8 GB GDDR6 (256 bit),1605 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/68054-zotac-gaming-geforce-rtx-2070-super-mini-zt-t20710e-10m,https://s3.amazonaws.com/solotodo-core/media/cache/12/96/12964a7cfdb3d1ac2b62f579abae4b8b.png
MSI GeForce RTX 2070 SUPER VENTUS OC,558.900,NVIDIA GeForce RTX 2070 Super,8 GB GDDR6 (256 bit),1605 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/63991-msi-geforce-rtx-2070-super-ventus-oc,https://s3.amazonaws.com/solotodo-core/media/cache/c3/46/c3461a0c1bbdd630a285ec476049d9e0.png
ASUS ROG-STRIX-RXVEGA56-O8G-GAMING,570.000,AMD Radeon RX Vega 56,8 GB HBM2 (2048 bit),1297 MHz core / 800 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/44219-asus-rog-strix-rxvega56-o8g-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/21/b2/21b2c17f2f4643a62ce34a3686146d0f.png
EVGA GeForce RTX 2070 SUPER GAMING (08G-P4-3070-KR),558.900,NVIDIA GeForce RTX 2070 Super,8 GB GDDR6 (256 bit),1605 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/68861-evga-geforce-rtx-2070-super-gaming-08g-p4-3070-kr,https://s3.amazonaws.com/solotodo-core/media/cache/d9/c0/d9c0162aefa1af004a5bd2f8b3ff1b97.png
Gigabyte GeForce RTX 2070 SUPER GAMING OC 8G (GV-N207SGAMING OC-8GC),594.586,NVIDIA GeForce RTX 2070 Super,8 GB GDDR6 (256 bit),1815 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/64547-gigabyte-geforce-rtx-2070-super-gaming-oc-8g-gv-n207sgaming-oc-8gc,https://s3.amazonaws.com/solotodo-core/media/cache/49/ef/49ef2dc03a030c831e29605e85b66327.png
Zotac GAMING GeForce RTX 2070 SUPER Twin Fan (ZT-T20710F-10P),599.707,NVIDIA GeForce RTX 2070 Super,8 GB GDDR6 (256 bit),1605 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/64468-zotac-gaming-geforce-rtx-2070-super-twin-fan-zt-t20710f-10p,https://s3.amazonaws.com/solotodo-core/media/cache/35/c6/35c622554b80802eaa6bb061082c22ed.png
MSI GeForce RTX 2070 SUPER GAMING X,609.990,NVIDIA GeForce RTX 2070 Super,8 GB GDDR6 (256 bit),1605 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/67603-msi-geforce-rtx-2070-super-gaming-x,https://s3.amazonaws.com/solotodo-core/media/cache/cf/f4/cff4520bbc1adb15827547a7a109b5ee.png
Galax GeForce RTX 2070 Super EX Gamer Black Edition (27ISL6MDW0BG),619.990,NVIDIA GeForce RTX 2070 Super,8 GB GDDR6 (256 bit),1605 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/69438-galax-geforce-rtx-2070-super-ex-gamer-black-edition-27isl6mdw0bg,https://s3.amazonaws.com/solotodo-core/media/cache/ed/91/ed9154516bf55be313a340a26a3f5f74.png
