nombre,precio,capacidad,tipo,frecuencia,formato,voltaje,link,imagen
Kingston KCP316SS8/4 (1 x 4GB | SO-DIMM DDR3-1600),25536,1 x 4GB,DDR3,1600 MHz,SO-DIMM,1.50 V,https://www.solotodo.com/products/25420-kingston-kcp316ss84-1-x-4gb-so-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/99/9f/999fa0f2bd420e5c5c70b18f398c5c4b.png
Kingston HyperX Fury Black HX432C16FB3/4 (1 x 4GB | DIMM DDR4-3200),25536,1 x 4GB,DDR4,3200 MHz,DIMM,1.35 V,https://www.solotodo.com/products/67117-kingston-hyperx-fury-black-hx432c16fb34-1-x-4gb-dimm-ddr4-3200,https://s3.amazonaws.com/solotodo-core/media/cache/00/42/0042855b293d37a259cb9158248e045f.png
Kingston KCP313NS8/4 (1 x 4GB | DIMM DDR3-1333),25764,1 x 4GB,DDR3,1333 MHz,DIMM,1.50 V,https://www.solotodo.com/products/25981-kingston-kcp313ns84-1-x-4gb-dimm-ddr3-1333,https://s3.amazonaws.com/solotodo-core/media/cache/46/51/4651f18ef94ba71aa22f25fe9c7ee76e.png
Crucial Ballistix Sport LT BLS4G4D240FSE (1 x 4GB | DIMM DDR4-2400),25900,1 x 4GB,DDR4,2400 MHz,DIMM,1.20 V,https://www.solotodo.com/products/26208-crucial-ballistix-sport-lt-bls4g4d240fse-1-x-4gb-dimm-ddr4-2400,https://s3.amazonaws.com/solotodo-core/media/cache/26/a2/26a2a27b0b044e96c88009a8afd8e937.png
SuperTalent (1 x 1GB | DIMM DDR-266),26900,1 x 1GB,DDR,266 MHz,DIMM,2.50 V,https://www.solotodo.com/products/4330-supertalent-1-x-1gb-dimm-ddr-266,https://s3.amazonaws.com/solotodo-core/media/cache/c3/20/c32069d8ed59ff3aad13a6b5fa6e0361.png
Team Elite TED44G2666C1901 (1 x 4GB | DIMM DDR4-2666),26990,1 x 4GB,DDR4,2666 MHz,DIMM,1.20 V,https://www.solotodo.com/products/70051-team-elite-ted44g2666c1901-1-x-4gb-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/c9/32/c93201b60c4ef02950ed3f1d1614f687.png
ELPIDA D3LD4G16BK (1 x 4GB | DIMM DDR3-1600),26990,1 x 4GB,DDR3,1600 MHz,DIMM,1.50 V,https://www.solotodo.com/products/70551-elpida-d3ld4g16bk-1-x-4gb-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/d0/06/d0064dcc7c7bc9e294cd1f5c9d256f03.png
Kingston HyperX Fury Black HX424C15FB/4 (1 x 4GB | DIMM DDR4-2400),26990,1 x 4GB,DDR4,2400 MHz,DIMM,1.20 V,https://www.solotodo.com/products/23313-kingston-hyperx-fury-black-hx424c15fb4-1-x-4gb-dimm-ddr4-2400,https://s3.amazonaws.com/solotodo-core/media/cache/f7/b1/f7b192b92308c2ae5187e4bb06ac9d30.png
Corsair CMV4GX3M1A1600C11 (1 x 4GB | DIMM DDR3-1600),27968,1 x 4GB,DDR3,1600 MHz,DIMM,1.50 V,https://www.solotodo.com/products/27706-corsair-cmv4gx3m1a1600c11-1-x-4gb-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/d4/e1/d4e1199079cae8d6fdf9cac60ed2ba78.png
Crucial CT8G4SFS824A (1 x 8GB | SO-DIMM DDR4-2400),29900,1 x 8GB,DDR4,2400 MHz,SO-DIMM,1.20 V,https://www.solotodo.com/products/33275-crucial-ct8g4sfs824a-1-x-8gb-so-dimm-ddr4-2400,https://s3.amazonaws.com/solotodo-core/media/cache/f4/7d/f47dbad3743f01f8a6e61cb2c332095e.png
