nombre,precio,gpu,memoria,frecuencias,bus,link
ASUS DUAL-GTX1060-O6G (90YV09X0-M0NA00),278.900,NVIDIA GeForce GTX 1060 (6 GB),6 GB GDDR5 (192 bit),1569 MHz core / 2002 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/28898-asus-dual-gtx1060-o6g-90yv09x0-m0na00
XFX RX 580 (RX-580P8DFD6),279.900,AMD Radeon RX 580,8 GB GDDR5 (256 bit),1366 MHz core / 2000 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/42318-xfx-rx-580-rx-580p8dfd6
EVGA GeForce GTX 1060 SSC GAMING (06G-P4-6267-KR),279.900,NVIDIA GeForce GTX 1060 (6 GB),6 GB GDDR5 (192 bit),1607 MHz core / 2002 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/35353-evga-geforce-gtx-1060-ssc-gaming-06g-p4-6267-kr
Galax GeForce GTX 1660 Super EX White (1-Click OC) (60SRL7DS04WS),299.990,NVIDIA GeForce GTX 1660 Super,6 GB GDDR6 (192 bit),1530 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/69406-galax-geforce-gtx-1660-super-ex-white-1-click-oc-60srl7ds04ws
PowerColor RX 580 (AXRX 580 8GBD5-3DH/OC),299.900,AMD Radeon RX 580,8 GB GDDR5 (256 bit),1380 MHz core / 2000 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/45381-powercolor-rx-580-axrx-580-8gbd5-3dhoc
MSI GeForce GTX 1660 SUPER GAMING X,309.472,NVIDIA GeForce GTX 1660 Super,6 GB GDDR6 (192 bit),1530 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/69212-msi-geforce-gtx-1660-super-gaming-x
PNY GeForce GTX 1660 Ti XLR8 Gaming OC (VCG1660T6SFPPB-O),309.990,NVIDIA GeForce GTX 1660 Ti,6 GB GDDR6 (192 bit),1500 MHz core / 1500 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/67168-pny-geforce-gtx-1660-ti-xlr8-gaming-oc-vcg1660t6sfppb-o
Zotac GAMING GeForce GTX 1660 Ti 6GB GDDR6 (ZT-T16610F-10L),314.900,NVIDIA GeForce GTX 1660 Ti,6 GB GDDR6 (192 bit),1500 MHz core / 1500 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/58078-zotac-gaming-geforce-gtx-1660-ti-6gb-gddr6-zt-t16610f-10l
MSI Radeon RX 570 ARMOR MK2 8G OC,319.990,AMD Radeon RX 570,8 GB GDDR5 (256 bit),1268 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/42859-msi-radeon-rx-570-armor-mk2-8g-oc
EVGA GeForce GTX 980 SC GAMING ACX 2.0 (04G-P4-2983-KR),320.000,NVIDIA GeForce GTX 980,4 GB GDDR5 (256 bit),1266 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/17733-evga-geforce-gtx-980-sc-gaming-acx-20-04g-p4-2983-kr
