nombre,precio,capacidad,formato,bus,link
Team T-Force Delta S RGB 500 GB,85.900,500 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/54580-team-t-force-delta-s-rgb-500-gb-t253tr500g3c312
A-DATA XPG Spectrix S40G RGB 512 GB,86.336,512 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/65394-a-data-xpg-spectrix-s40g-rgb-512-gb-as40g-512gt-c
Samsung 860 EVO 500 GB,87.900,500 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/42794-samsung-860-evo-500-gb-mz-76e500bam
Intel 545S 512 GB,89.098,512 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/42081-intel-545s-512-gb-ssdsc2kw512g8x1
Kingston A2000 500 GB,88.990,500 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/65076-kingston-a2000-500-gb-sa2000m8500g
Crucial BX500 960 GB,86.900,960 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/58073-crucial-bx500-960-gb-ct960bx500ssd1
Mushkin Source 2 960 GB,86.900,960 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/71034-mushkin-source-2-960-gb-mknssds2960gb
Kingston KC600 512 GB,89.900,512 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/68883-kingston-kc600-512-gb-skc600512g
Western Digital Black 500 GB,89.990,500 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/46935-western-digital-black-500-gb-wds500g2x0c
AFOX 120 GB,89.990,120 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/55087-afox-120-gb-afsn8t3bn120
Lexar NS200 960 GB,89.900,960 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/72789-lexar-ns200-960-gb-lns200-960rbna
Team T-Force Delta MAX RGB 500 GB,94.886,500 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/73644-team-t-force-delta-max-rgb-500-gb-t253tm500g3c302
Team T-Force Cardea II 512 GB,94.905,512 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/68571-team-t-force-cardea-ii-512-gb-tm8fp5512g0c110
Western Digital Black SN750 500 GB,94.900,500 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/58606-western-digital-black-sn750-500-gb-wds500g3x0c
A-DATA Ultimate SU630 960 GB,97.900,960 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/60623-a-data-ultimate-su630-960-gb-asu630ss-960gq-r
