nombre,precio,socket,chipset,memorias,formato,tipomemoria,link
Gigabyte B450 AORUS M,104.386,AM4,AMD B450 (AM4),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/50191-gigabyte-b450-aorus-m
ASUS PRIME B450-PLUS,106.990,AM4,AMD B450 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/49370-asus-prime-b450-plus
ASUS PRIME B360-PLUS,104.900,LGA 1151-v2,Intel B360 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/44215-asus-prime-b360-plus
ASUS TUF B365M-PLUS GAMING,108.810,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/69858-asus-tuf-b365m-plus-gaming
ASRock Fatal1ty B450 Gaming K4,110.405,AM4,AMD B450 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/49279-asrock-fatal1ty-b450-gaming-k4
ASRock Z370 Pro4,109.900,LGA 1151-v2,Intel Z370 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/41660-asrock-z370-pro4
ASRock X370 Pro4,114.990,AM4,AMD X370 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/43235-asrock-x370-pro4
ASUS TUF B360-PLUS GAMING,112.900,LGA 1151-v2,Intel B360 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/47678-asus-tuf-b360-plus-gaming
MSI Z270 PC MATE,112.900,LGA 1151,Intel Z270 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/33708-msi-z270-pc-mate
ASUS PRIME Z270M-PLUS,114.900,LGA 1151,Intel Z270 (LGA 1151),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/37872-asus-prime-z270m-plus
MSI H370 GAMING PRO CARBON,114.900,LGA 1151-v2,Intel H370 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/43864-msi-h370-gaming-pro-carbon
Gigabyte GA-Z270M-D3H,115.900,LGA 1151,Intel Z270 (LGA 1151),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/36032-gigabyte-ga-z270m-d3h
Gigabyte B360 AORUS GAMING 3 WIFI,119.900,LGA 1151-v2,Intel B360 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/45024-gigabyte-b360-aorus-gaming-3-wifi
ASUS TUF B360M-PLUS GAMING,119.990,LGA 1151-v2,Intel B360 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/45546-asus-tuf-b360m-plus-gaming
MSI Z270 GAMING M3,117.900,LGA 1151,Intel Z270 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/32368-msi-z270-gaming-m3
ASUS ROG STRIX B360-H GAMING,118.900,LGA 1151-v2,Intel B360 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/44658-asus-rog-strix-b360-h-gaming
ASUS TUF B365-PLUS GAMING,119.900,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/72839-asus-tuf-b365-plus-gaming
ASUS Z170-K,122.900,LGA 1151,Intel Z170 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/25198-asus-z170-k
