nombre,precio,formato,fuentepoder,ubfuente,panellateral,link
Cooler Master MasterBox TD500 (MCB-D500D-KANN-S00),69.572,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/53233-cooler-master-masterbox-td500-mcb-d500d-kann-s00
Cooler Master MasterCase Pro 3 (MCY-C3P1-KWNN),69.900,Micro ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/37425-cooler-master-mastercase-pro-3-mcy-c3p1-kwnn
be quiet! Pure Base 600 Window - Orange (BGW20),69.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/51076-be-quiet-pure-base-600-window-orange-bgw20
be quiet! Pure Base 600 Window - Black (BGW21),69.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/51075-be-quiet-pure-base-600-window-black-bgw21
Apexgaming Hermès C1 ARGB,69.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/70006-apexgaming-hermes-c1-argb
Apexgaming Hermès C2 ARGB,69.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/70008-apexgaming-hermes-c2-argb
Raidmax Cobra Z - Green (ATX-502WBG),68.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/52398-raidmax-cobra-z-green-atx-502wbg
Gamemax Vision RC,68.900,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/65521-gamemax-vision-rc
Gamemax M911 Rainbow,69.900,Extended ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/65523-gamemax-m911-rainbow
Corsair Carbide Series 300R (CC-9011017-WW),69.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/7487-corsair-carbide-series-300r-cc-9011017-ww
Thermaltake V200 Tempered Glass + PSU 600W (CA-3K8-60M1WU-01),71.990,ATX,600 W.,Inferior,Vidrio templado,https://www.solotodo.com/products/49904-thermaltake-v200-tempered-glass-psu-600w-ca-3k8-60m1wu-01
Cooler Master MasterBox MB511 RGB (MCB-B511D-KGNN-RGB),72.339,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/65130-cooler-master-masterbox-mb511-rgb-mcb-b511d-kgnn-rgb
MSI MPG GUNGNIR 100D,72.900,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/61303-msi-mpg-gungnir-100d
Thermaltake Level 10 GTS Snow Edition White (VO30006N2N),70.900,ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/5971-thermaltake-level-10-gts-snow-edition-white-vo30006n2n
Riotoro CR1088 Prism RGB,74.502,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/51078-riotoro-cr1088-prism-rgb
Gamemax Onyx II,76.900,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/65522-gamemax-onyx-ii
Cooler Master Masterbox 5 (MCY-B5S1-KWYN-04),74.900,ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/29708-cooler-master-masterbox-5-mcy-b5s1-kwyn-04
Gamdias Talos M1A,76.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/70001-gamdias-talos-m1a
Corsair Graphite Series 230T (CC-9011036-WW),78.990,ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/40588-corsair-graphite-series-230t-cc-9011036-ww
