Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,WDS512G1X0C,WD,Black NVMe PCIe M.2 512GB (2017),138,132,7553,https://ssd.userbenchmark.com/SpeedTest/251339/WDC-WDS512G1X0C-00ENX0
SSD,SSDPEKKW128G8XT,Intel,760p Series NVMe PCIe M.2 128GB,139,132,1050,https://ssd.userbenchmark.com/SpeedTest/446913/INTEL-SSDPEKKW128G8
SSD,KXG50ZNV256G,Toshiba,XG5 NVMe PCIe M.2 256GB,140,130,18736,https://ssd.userbenchmark.com/SpeedTest/358656/KXG50ZNV256G-NVMe-TOSHIBA-256GB
SSD,ASX7000NP-512GT-C,Adata,XPG SX7000 NVMe PCIe M.2 512GB,141,129,1712,https://ssd.userbenchmark.com/SpeedTest/318275/NVMe-ADATA-SX7000NP
SSD,MZHPU256HCGL,Samsung,XP941 PCIe M.2 256GB,142,129,1914,https://ssd.userbenchmark.com/SpeedTest/4625/SAMSUNG-MZHPU256HCGL-00000
SSD,PX-AG256M6e,Plextor,M6e PCIe 256GB,143,128,391,https://ssd.userbenchmark.com/SpeedTest/7265/PLEXTOR-PX-AG256M6e
SSD,MDNVME80-SBX-1T,MyDigitalSSD,SBX NVMe PCIe M.2 1TB,144,127,22,https://ssd.userbenchmark.com/SpeedTest/455228/SBX
SSD,WDS256G1X0C,WD,Black NVMe PCIe M.2 256GB (2017),145,126,15879,https://ssd.userbenchmark.com/SpeedTest/237667/WDC-WDS256G1X0C-00ENX0
SSD,ASX6000NP-1TT-C,Adata,XPG SX6000 NVMe PCIe M.2 1TB,146,126,106,https://ssd.userbenchmark.com/SpeedTest/471014/ADATA-SX6000NP
SSD,ASX6000NP-512GT-C,Adata,XPG SX6000 NVMe PCIe M.2 512GB,147,125,2046,https://ssd.userbenchmark.com/SpeedTest/410831/ADATA-SX6000NP
SSD,ASX6000NP-256GT-C,Adata,XPG SX6000 NVMe PCIe M.2 256GB,148,125,4204,https://ssd.userbenchmark.com/SpeedTest/387986/ADATA-SX6000NP
SSD,MZHPU512HCGL,Samsung,XP941 PCIe M.2 512GB,149,124,894,https://ssd.userbenchmark.com/SpeedTest/4874/SAMSUNG-MZHPU512HCGL-00000
SSD,,Samsung,PM951 NVMe PCIe M.2 256GB,150,121,8169,https://ssd.userbenchmark.com/SpeedTest/37673/NVMe-PM951-NVMe-SAMSU
SSD,,Toshiba, THNSN5512GPUK NVMe PCIe M.2 512GB,151,121,10974,https://ssd.userbenchmark.com/SpeedTest/160272/NVMe-THNSN5512GPUK-NV
SSD,SSDPEKKW256G7X1,Intel,600p Series NVMe PCIe M.2 256GB,152,119,35112,https://ssd.userbenchmark.com/SpeedTest/169054/INTEL-SSDPEKKW256G7
SSD,,Toshiba, THNSN5256GPUK NVMe PCIe M.2 256GB,153,119,12320,https://ssd.userbenchmark.com/SpeedTest/202063/THNSN5256GPUK-TOSHIBA
SSD,SSDPEKKF512G7X1,Intel,Pro 6000p NVMe PCIe M.2 512GB,154,116,1360,https://ssd.userbenchmark.com/SpeedTest/289714/INTEL-SSDPEKKF512G7H
